date,currency_code,rate
2002-01-21,IEP,4.6508
2002-01-21,JPY,0.031241
2002-01-21,CAD,2.5626
2002-01-21,LUF,0.090798
2002-01-21,NOK,0.4629
2002-01-21,PTE,0.01827
2002-01-21,EUR,3.6628
2002-01-21,USD,4.1417
2002-01-21,CHF,2.4916
2002-01-21,SEK,0.3975
2002-01-21,HUF,0.015048
2002-01-21,GBP,5.9456
2002-01-21,ITL,0.001892
2002-01-21,EUR,3.6628
2002-01-21,XDR,5.2042
2002-01-22,AUD,2.1444
2002-01-22,ATS,0.2647
2002-01-22,BEF,0.090283
2002-01-22,CZK,0.1131
2002-01-22,DKK,0.4902
2002-01-22,EEK,0.2328
2002-01-22,FIM,0.6125
2002-01-22,FRF,0.5552
2002-01-22,GRD,0.010688
2002-01-22,ESP,0.021889
2002-01-22,NLG,1.6527
2002-01-22,IEP,4.6244
2002-01-22,JPY,0.030708
2002-01-22,CAD,2.5614
2002-01-22,LUF,0.090283
2002-01-22,NOK,0.4609
2002-01-22,PTE,0.018166
2002-01-22,EUR,3.642
2002-01-22,USD,4.12
2002-01-22,CHF,2.4781
2002-01-22,SEK,0.3942
2002-01-22,HUF,0.014966
2002-01-22,GBP,5.8889
2002-01-22,ITL,0.001881
2002-01-22,EUR,3.642
2002-01-22,XDR,5.1747
2002-01-23,AUD,2.1405
2002-01-23,ATS,0.2648
2002-01-23,BEF,0.090322
2002-01-23,CZK,0.1138
2002-01-23,DKK,0.4904
2002-01-23,EEK,0.2329
2002-01-23,FIM,0.6128
2002-01-23,FRF,0.5555
2002-01-23,GRD,0.010693
2002-01-23,ESP,0.021898
2002-01-23,NLG,1.6534
2002-01-23,IEP,4.6264
2002-01-23,JPY,0.030625
2002-01-23,CAD,2.5553
2002-01-23,LUF,0.090322
2002-01-23,NOK,0.4597
2002-01-23,PTE,0.018174
2002-01-23,EUR,3.6436
2002-01-23,USD,4.11
2002-01-23,CHF,2.4727
2002-01-23,SEK,0.3921
2002-01-23,HUF,0.014976
2002-01-23,GBP,5.8754
2002-01-23,ITL,0.001882
2002-01-23,EUR,3.6436
2002-01-23,XDR,5.1593
2002-01-24,AUD,2.1355
2002-01-24,ATS,0.2635
2002-01-24,BEF,0.089884
2002-01-24,CZK,0.1131
2002-01-24,DKK,0.488
2002-01-24,EEK,0.2317
2002-01-24,FIM,0.6098
2002-01-24,FRF,0.5528
2002-01-24,GRD,0.010641
2002-01-24,ESP,0.021792
2002-01-24,NLG,1.6454
2002-01-24,IEP,4.6039
2002-01-24,JPY,0.030783
2002-01-24,CAD,2.5779
2002-01-24,LUF,0.089884
2002-01-24,NOK,0.4597
2002-01-24,PTE,0.018086
2002-01-24,EUR,3.6259
2002-01-24,USD,4.1291
2002-01-24,CHF,2.4712
2002-01-24,SEK,0.3928
2002-01-24,HUF,0.014897
2002-01-24,GBP,5.8724
2002-01-24,ITL,0.001873
2002-01-24,EUR,3.6259
2002-01-24,XDR,5.125
2002-01-25,AUD,2.1608
2002-01-25,ATS,0.2645
2002-01-25,BEF,0.090218
2002-01-25,CZK,0.114
2002-01-25,DKK,0.4899
2002-01-25,EEK,0.2326
2002-01-25,FIM,0.6121
2002-01-25,FRF,0.5548
2002-01-25,GRD,0.010681
2002-01-25,ESP,0.021873
2002-01-25,NLG,1.6515
2002-01-25,IEP,4.6211
2002-01-25,JPY,0.030935
2002-01-25,CAD,2.5963
2002-01-25,LUF,0.090218
2002-01-25,NOK,0.4627
2002-01-25,PTE,0.018153
2002-01-25,EUR,3.6394
2002-01-25,USD,4.1627
2002-01-25,CHF,2.4797
2002-01-25,SEK,0.3943
2002-01-25,HUF,0.014891
2002-01-25,GBP,5.9172
2002-01-25,ITL,0.00188
2002-01-25,EUR,3.6394
2002-01-25,XDR,5.1739
2002-01-28,AUD,2.1446
2002-01-28,ATS,0.261
2002-01-28,BEF,0.089026
2002-01-28,CZK,0.1127
2002-01-28,DKK,0.4834
2002-01-28,EEK,0.2295
2002-01-28,FIM,0.604
2002-01-28,FRF,0.5475
2002-01-28,GRD,0.010539
2002-01-28,ESP,0.021584
2002-01-28,EUR,3.5913
2002-01-28,IEP,4.56
2002-01-28,JPY,0.031065
2002-01-28,CAD,2.5758
2002-01-28,LUF,0.089026
2002-01-28,NOK,0.4579
2002-01-28,PTE,0.017913
2002-01-28,EUR,3.5913
2002-01-28,USD,4.1522
2002-01-28,CHF,2.4376
2002-01-28,SEK,0.3889
2002-01-28,HUF,0.014705
2002-01-28,GBP,5.8443
2002-01-28,ITL,0.001855
2002-01-28,EUR,3.5913
2002-01-28,XDR,5.1448
2002-01-29,AUD,2.1084
2002-01-29,ATS,0.2571
2002-01-29,BEF,0.087692
2002-01-29,CZK,0.111
2002-01-29,DKK,0.4762
2002-01-29,EEK,0.2261
